Date,Open,High,Low,Close,Volume
2025-12-23,2353.1,2367.2,2320.4,2320.4,3813168
2025-12-24,2331.4,2350.6,2320.6,2320.6,9609280
2025-12-25,2314.6,2348.3,2291.9,2348.3,6864822
2025-12-26,2352.3,2388.2,2341.1,2368.4,5558231
2025-12-29,2367.7,2414.3,2348.8,2390.2,9314127
2025-12-30,2398.2,2413.6,2365.2,2365.2,7506259
2025-12-31,2361.1,2383.0,2327.5,2383.0,7336787
2026-01-01,2386.4,2394.8,2353.5,2378.3,8081425
2026-01-02,2386.4,2418.6,2351.3,2365.5,4856926
2026-01-05,2374.5,2397.1,2343.1,2397.1,5204664
2026-01-06,2397.5,2430.9,2349.7,2430.9,3117796
2026-01-07,2440.2,2454.9,2426.6,2454.9,7114639
2026-01-08,2464.7,2508.4,2426.2,2475.2,3668234
2026-01-09,2485.9,2525.0,2452.7,2492.0,8106799
2026-01-12,2482.0,2515.0,2456.8,2456.8,8320385
2026-01-13,2461.5,2493.6,2450.4,2477.2,6955488
2026-01-14,2477.0,2495.1,2458.8,2495.1,4017026
2026-01-15,2499.1,2527.5,2489.2,2489.2,9573430
2026-01-16,2483.0,2512.2,2434.3,2482.0,4199386
2026-01-19,2480.3,2497.7,2448.3,2492.9,6806688
2026-01-20,2485.3,2521.2,2449.8,2449.8,7041776
2026-01-21,2438.7,2487.2,2415.7,2422.5,5927109
2026-01-22,2419.4,2420.1,2374.5,2414.2,3115294
2026-01-23,2425.4,2466.7,2411.1,2417.0,9559702
2026-01-26,2411.4,2434.8,2393.4,2403.8,4989173
2026-01-27,2408.5,2436.0,2403.8,2416.8,8260950
2026-01-28,2408.1,2433.1,2365.9,2425.5,8635882
2026-01-29,2430.6,2457.5,2416.2,2424.7,4492785
2026-01-30,2433.6,2478.1,2408.7,2433.7,9099628
2026-02-02,2426.3,2429.7,2393.6,2393.6,3448982
2026-02-03,2382.3,2409.9,2361.4,2394.6,3118834
2026-02-04,2393.8,2419.7,2380.0,2400.3,8168469
2026-02-05,2394.3,2397.0,2379.8,2397.0,5058852
2026-02-06,2397.5,2434.4,2387.1,2406.3,8854403
2026-02-09,2414.6,2429.0,2394.7,2429.0,9364979
2026-02-10,2420.1,2467.0,2385.5,2386.8,4646711
2026-02-11,2381.3,2402.2,2347.4,2347.4,6413821
2026-02-12,2355.3,2388.1,2332.2,2332.2,3803328
2026-02-13,2330.8,2342.0,2308.7,2308.7,7381932
2026-02-16,2303.6,2347.6,2269.6,2307.3,4686293
2026-02-17,2312.7,2314.9,2286.5,2289.0,7398165
2026-02-18,2277.9,2283.1,2246.5,2246.5,7273085
2026-02-19,2251.0,2272.4,2246.6,2250.5,6502630
2026-02-20,2247.0,2267.9,2216.6,2216.6,4408836
2026-02-23,2225.1,2254.1,2224.4,2254.1,7466271
2026-02-24,2262.1,2291.9,2233.0,2233.0,6832065
2026-02-25,2222.4,2248.4,2180.6,2227.4,9232753
2026-02-26,2229.0,2250.5,2192.9,2250.5,7035851
2026-02-27,2247.9,2291.1,2207.2,2227.4,7303244
2026-03-02,2221.1,2237.8,2219.3,2228.9,5648790
2026-03-03,2219.4,2233.5,2181.9,2187.6,3065953
2026-03-04,2182.4,2204.1,2152.2,2172.5,7729930
2026-03-05,2180.7,2212.7,2145.6,2166.4,9854500
2026-03-06,2171.8,2206.9,2128.8,2166.1,6970001
2026-03-09,2160.7,2185.8,2123.3,2164.7,4355531
2026-03-10,2163.2,2195.7,2130.6,2137.4,3898320
2026-03-11,2138.2,2159.4,2121.5,2125.2,4612818
2026-03-12,2122.8,2123.3,2084.4,2096.8,7098502
2026-03-13,2106.4,2134.9,2086.1,2106.0,8382287
2026-03-16,2104.9,2117.2,2091.0,2115.8,4809891
2026-03-17,2125.2,2158.4,2120.4,2152.7,9837433
2026-03-18,2143.2,2168.1,2124.2,2168.1,8607658
2026-03-19,2172.5,2214.6,2142.6,2194.5,9499580
2026-03-20,2201.9,2220.7,2192.1,2195.1,8462810
2026-03-23,2199.6,2231.7,2195.9,2231.7,8256687
2026-03-24,2239.9,2279.3,2229.2,2267.2,3394540
2026-03-25,2273.0,2291.9,2269.2,2291.9,3026790
2026-03-26,2290.2,2331.7,2285.1,2289.6,9820492
2026-03-27,2287.5,2313.6,2253.6,2305.8,5253694
2026-03-30,2309.3,2343.7,2282.3,2341.3,7949499
2026-03-31,2336.3,2376.8,2325.8,2368.7,4871403
2026-04-01,2380.0,2406.5,2347.4,2347.4,6501268
2026-04-02,2359.0,2392.2,2332.9,2392.2,9929809
2026-04-03,2384.2,2419.7,2370.2,2419.7,9925877
2026-04-06,2421.7,2465.4,2405.8,2405.8,8122783
2026-04-07,2395.2,2414.1,2383.4,2383.4,5667867
2026-04-08,2386.9,2405.4,2370.1,2370.1,7166500
2026-04-09,2381.4,2428.3,2348.1,2383.9,7010912
2026-04-10,2381.8,2410.5,2355.6,2355.6,3122402
2026-04-13,2363.2,2408.1,2328.9,2371.3,4178049
2026-04-14,2361.4,2402.8,2335.3,2337.6,7719607
2026-04-15,2334.7,2372.6,2288.6,2310.2,4635156
2026-04-16,2316.0,2334.2,2277.6,2320.8,7345760
2026-04-17,2320.1,2339.3,2289.2,2289.2,9189573
2026-04-20,2293.6,2322.0,2259.2,2322.0,8004310
2026-04-21,2328.3,2372.3,2288.7,2310.6,8692493
2026-04-22,2303.8,2315.4,2283.6,2283.6,8444032
2026-04-23,2287.5,2315.8,2261.0,2261.0,3508153
2026-04-24,2261.4,2296.4,2237.9,2285.3,7834357
